Time: 1768248974.3003762, Power: 10.0, Energy: 0.0, DeltaCO2: 0.0, TotalCO2: 0.0
Time: 1768286384.7934673, Power: 45.0, Energy: 1.2541314959526063e-05, DeltaCO2: 5.95712460577488e-06, TotalCO2: 2.1202215229471525e-05
Time: 1768286385.7997315, Power: 10.0, Energy: 2.795178360409207e-06, DeltaCO2: 1.3277097211943733e-06, TotalCO2: 2.25299249506659e-05
Time: 1768286386.8033905, Power: 10.0, Energy: 2.787941694259644e-06, DeltaCO2: 1.3242723047733308e-06, TotalCO2: 2.385419725543923e-05
Time: 1768286387.8078232, Power: 10.0, Energy: 2.7900907728407117e-06, DeltaCO2: 1.325293117099338e-06, TotalCO2: 2.5179490372538566e-05
Time: 1768286388.810031, Power: 10.0, Energy: 2.783910433451335e-06, DeltaCO2: 1.322357455889384e-06, TotalCO2: 2.650184782842795e-05
Time: 1768286389.8122013, Power: 10.0, Energy: 2.783806456459893e-06, DeltaCO2: 1.3223080668184493e-06, TotalCO2: 2.78241558952464e-05
Time: 1768286390.814346, Power: 10.0, Energy: 2.7837355931599935e-06, DeltaCO2: 1.322274406750997e-06, TotalCO2: 2.9146430301997395e-05
Time: 1768286391.8180869, Power: 10.0, Energy: 2.788168854183621e-06, DeltaCO2: 1.3243802057372198e-06, TotalCO2: 3.0470810507734615e-05
Time: 1768286392.8261652, Power: 38.0, Energy: 1.0640826887554593e-05, DeltaCO2: 5.054392771588432e-06, TotalCO2: 3.5525203279323045e-05
Time: 1768286393.8304105, Power: 10.0, Energy: 2.7895702256096734e-06, DeltaCO2: 1.3250458571645948e-06, TotalCO2: 3.685024913648764e-05
Time: 1768286394.834129, Power: 10.0, Energy: 2.788107262717353e-06, DeltaCO2: 1.3243509497907426e-06, TotalCO2: 3.817460008627838e-05
Time: 1768286395.8381, Power: 10.0, Energy: 2.788807948430379e-06, DeltaCO2: 1.32468377550443e-06, TotalCO2: 3.949928386178281e-05
Time: 1768286396.8414145, Power: 45.0, Energy: 1.2541431188583374e-05, DeltaCO2: 5.957179814577102e-06, TotalCO2: 4.5456463676359914e-05
Time: 1768286397.8450499, Power: 10.0, Energy: 2.7878761291503904e-06, DeltaCO2: 1.3242411613464353e-06, TotalCO2: 4.678070483770635e-05
Time: 1768286398.8485355, Power: 10.0, Energy: 2.787460221184625e-06, DeltaCO2: 1.3240436050626968e-06, TotalCO2: 4.810474844276905e-05
Time: 1768286399.85158, Power: 10.0, Energy: 2.7862343523237442e-06, DeltaCO2: 1.3234613173537784e-06, TotalCO2: 4.942820976012283e-05
Time: 1768286400.8565865, Power: 45.0, Energy: 1.2562581896781922e-05, DeltaCO2: 5.967226400971412e-06, TotalCO2: 5.539543616109424e-05
Time: 1768286401.8634608, Power: 10.0, Energy: 2.7968731191423204e-06, DeltaCO2: 1.328514731592602e-06, TotalCO2: 5.672395089268684e-05
Time: 1768286402.8681695, Power: 10.0, Energy: 2.7908576859368218e-06, DeltaCO2: 1.3256574008199903e-06, TotalCO2: 5.804960829350683e-05
Time: 1768286403.8712087, Power: 10.0, Energy: 2.7862197822994656e-06, DeltaCO2: 1.3234543965922461e-06, TotalCO2: 5.937306269009908e-05
Time: 1768286404.8745193, Power: 10.0, Energy: 2.7869741121927896e-06, DeltaCO2: 1.323812703291575e-06, TotalCO2: 6.069687539339065e-05
Time: 1768286405.877795, Power: 10.0, Energy: 2.7868767579396567e-06, DeltaCO2: 1.3237664600213368e-06, TotalCO2: 6.202064185341199e-05
Time: 1768286406.88082, Power: 10.0, Energy: 2.7861807081434463e-06, DeltaCO2: 1.323435836368137e-06, TotalCO2: 6.334407768978013e-05
Time: 1768286407.887142, Power: 10.0, Energy: 2.7953386306762697e-06, DeltaCO2: 1.327785849571228e-06, TotalCO2: 6.467186353935136e-05
Time: 1768286408.8911383, Power: 10.0, Energy: 2.788878811730279e-06, DeltaCO2: 1.3247174355718826e-06, TotalCO2: 6.599658097492324e-05
Time: 1768286409.8943644, Power: 10.0, Energy: 2.7867390049828424e-06, DeltaCO2: 1.3237010273668501e-06, TotalCO2: 6.732028200229009e-05
Time: 1768286410.8979518, Power: 10.0, Energy: 2.7877430121103923e-06, DeltaCO2: 1.3241779307524363e-06, TotalCO2: 6.864445993304253e-05
Time: 1768286411.9030724, Power: 10.0, Energy: 2.7920014328426786e-06, DeltaCO2: 1.3262006806002722e-06, TotalCO2: 6.99706606136428e-05
Time: 1768286412.906103, Power: 10.0, Energy: 2.786195940441555e-06, DeltaCO2: 1.3234430717097386e-06, TotalCO2: 7.129410368535254e-05
Time: 1768286413.9129708, Power: 10.0, Energy: 2.796855237748888e-06, DeltaCO2: 1.3285062379307219e-06, TotalCO2: 7.262260992328326e-05
Time: 1768286414.919224, Power: 10.0, Energy: 2.795147895812988e-06, DeltaCO2: 1.3276952505111693e-06, TotalCO2: 7.395030517379443e-05
Time: 1768286415.9220278, Power: 10.0, Energy: 2.7855661180284287e-06, DeltaCO2: 1.3231439060635037e-06, TotalCO2: 7.527344907985793e-05
Time: 1768286416.9253824, Power: 10.0, Energy: 2.7870959705776637e-06, DeltaCO2: 1.3238705860243903e-06, TotalCO2: 7.659731966588232e-05
Time: 1768286417.9286425, Power: 10.0, Energy: 2.786833710140652e-06, DeltaCO2: 1.3237460123168098e-06, TotalCO2: 7.792106567819913e-05
Time: 1768286418.930965, Power: 10.0, Energy: 2.784228987163968e-06, DeltaCO2: 1.3225087689028847e-06, TotalCO2: 7.924357444710201e-05
Time: 1768286419.9338794, Power: 10.0, Energy: 2.7858734130859377e-06, DeltaCO2: 1.3232898712158203e-06, TotalCO2: 8.056686431831783e-05
Time: 1768286420.9355185, Power: 45.0, Energy: 1.252048909664154e-05, DeltaCO2: 5.947232320904731e-06, TotalCO2: 8.651409663922256e-05
Time: 1768286421.938591, Power: 10.0, Energy: 2.786312500635783e-06, DeltaCO2: 1.323498437801997e-06, TotalCO2: 8.783759507702456e-05
